country,pcv,imp1M,imp1L,imp1U
Israel,PCV10S,-0.031,-0.13,0.069
Israel,PCV15,0.084,-0.023,0.183
Israel,PCV20,0.374,0.26,0.481
South Africa,PCV10S,-0.047,-0.135,0.041
South Africa,PCV15,0.016,-0.083,0.109
South Africa,PCV20,0.259,0.166,0.352
Brazil,PCV10S,0.283,0.182,0.377
Brazil,PCV15,0.377,0.277,0.472
Brazil,PCV20,0.421,0.327,0.522
Malawi,PCV10S,-0.026,-0.148,0.096
Malawi,PCV15,0.009,-0.122,0.13
Malawi,PCV20,0.035,-0.096,0.165
