st,log.inv,log.inv.prec
1,10.30109293,20.44392748
10A,8.287458605,24.5192627
10F,8.841964683,11.61530916
11A,7.403470967,20.52691186
12F,9.776365275,31.45862985
13,9.049520698,11.73320193
14,8.821962452,29.70944336
15A,7.744025434,26.28077501
15B/C,7.694695844,30.58875014
16F,8.087365283,22.09596457
17A,9.151849308,13.58640789
17F,7.734999996,17.40703907
18C,9.369820823,23.44550666
19A,8.180773335,56.17538925
19F,8.042199816,32.59093807
21,8.010829866,19.31228051
22F,7.817589351,32.60450136
23A,7.792337901,20.19922814
23B,7.29663158,19.61310203
23F,8.008694798,26.47229257
3,8.424490088,29.96774907
31,8.128638868,19.43652629
33F,8.45005675,23.39877824
34,8.37101597,23.3351289
35A,8.557645549,19.0819949
35B,7.341088713,25.74248403
35F,8.039262004,22.19384095
37,8.827873896,12.62309274
38,8.859402086,22.16280827
4,9.129612532,22.10535008
6A/C,7.128885657,40.64950881
6B,8.163209423,36.04712361
7C,8.127256862,16.8457112
7F,10.03156131,30.59411798
8,9.065059811,18.4133783
9N,9.381691701,15.44982589
9V,8.979604625,28.99725227
NT,7.252672446,17.60386555
