"YEAR","age_category","HIV_population","denominator"
"2018","70 - 74 years","Positive"," 31937.0"
"2018","75 - 79 years","Negative","564646.366"
"2018","75 - 79 years","Positive","  9549.834"
"2018","80 - 84 years","Negative","357483.71"
"2018","80 - 84 years","Positive","  2436.59"
"2018","85 - 89 years","Negative","187084.1662"
"2018","85 - 89 years","Positive","   482.3338"
"2018","90+ years","Negative","83476.85919"
"2018","90+ years","Positive","   82.94081"
"2019","0 years","Negative","1114816.169"
"2019","0 years","Positive","   4541.831"
"2019","1 years","Negative","1098470.511"
"2019","1 years","Positive","   7676.489"
"2019","2 years","Negative","1088453.878"
"2019","2 years","Positive","   9763.122"
"2019","3 years","Negative","1112051.67"
"2019","3 years","Positive","  11800.33"
"2019","4 years","Negative","1113156.32"
"2019","4 years","Positive","  13200.68"
"2019","5 - 9 years","Negative","5420319.36"
"2019","5 - 9 years","Positive","  90322.64"
"2019","10 - 14 years","Negative","5098604.3"
"2019","10 - 14 years","Positive"," 142279.7"
"2019","15 - 19 years","Negative","4353080.4"
"2019","15 - 19 years","Positive"," 201257.6"
"2019","20 - 24 years","Negative","4409524.2"
"2019","20 - 24 years","Positive"," 452302.8"
"2019","25 - 29 years","Negative","4381326.8"
"2019","25 - 29 years","Positive"," 818725.2"
"2019","30 - 34 years","Negative","4052944"
"2019","30 - 34 years","Positive","1238748"
"2019","35 - 39 years","Negative","3207025"
"2019","35 - 39 years","Positive","1364218"
"2019","40 - 44 years","Negative","2548023"
"2019","40 - 44 years","Positive","1110950"
"2019","45 - 49 years","Negative","2299720.6"
"2019","45 - 49 years","Positive"," 815997.4"
"2019","50 - 54 years","Negative","2079610.8"
"2019","50 - 54 years","Positive"," 561027.2"
"2019","55 - 59 years","Negative","1891271.2"
"2019","55 - 59 years","Positive"," 374220.8"
"2019","60 - 64 years","Negative","1568594.2"
"2019","60 - 64 years","Positive"," 213808.8"
"2019","65 - 69 years","Negative","1209797.4"
"2019","65 - 69 years","Positive"," 102447.3"
"2019","70 - 74 years","Negative","847048.08"
"2019","70 - 74 years","Positive"," 38773.02"
"2019","75 - 79 years","Negative","563327.91"
"2019","75 - 79 years","Positive"," 11456.79"
"2019","80 - 84 years","Negative","368157.71"
"2019","80 - 84 years","Positive","  3051.59"
"2019","85 - 89 years","Negative","187864.2861"
"2019","85 - 89 years","Positive","   588.3339"
"2019","90+ years","Negative","86445.52375"
"2019","90+ years","Positive","   99.97625"
