"YEAR","age_category","HIV_population","denominator"
"2007","65 - 69 years","Negative","901277.36"
"2007","65 - 69 years","Positive"," 13491.44"
"2007","70 - 74 years","Negative","668908.711"
"2007","70 - 74 years","Positive","  4143.789"
"2007","75 - 79 years","Negative","475286.686"
"2007","75 - 79 years","Positive","  1179.814"
"2007","80 - 84 years","Negative","267633.4721"
"2007","80 - 84 years","Positive","   313.5279"
"2007","85 - 89 years","Negative","147152.79706"
"2007","85 - 89 years","Positive","    96.25294"
"2007","90+ years","Negative","58267.63144"
"2007","90+ years","Positive","   28.46856"
"2008","0 years","Negative","1103386.36"
"2008","0 years","Positive","  34891.64"
"2008","1 years","Negative","1051122.56"
"2008","1 years","Positive","  33181.44"
"2008","2 years","Negative","1007517.82"
"2008","2 years","Positive","  34923.18"
"2008","3 years","Negative","968462.37"
"2008","3 years","Positive"," 34531.63"
"2008","4 years","Negative","896022.25"
"2008","4 years","Positive"," 31682.75"
"2008","5 - 9 years","Negative","4299722.7"
"2008","5 - 9 years","Positive"," 136570.3"
"2008","10 - 14 years","Negative","4612661.17"
"2008","10 - 14 years","Positive","  74535.83"
"2008","15 - 19 years","Negative","4849649"
"2008","15 - 19 years","Positive"," 164472"
"2008","20 - 24 years","Negative","4467966.3"
"2008","20 - 24 years","Positive"," 750865.7"
"2008","25 - 29 years","Negative","3435274"
"2008","25 - 29 years","Positive","1094937"
"2008","30 - 34 years","Negative","2834739.8"
"2008","30 - 34 years","Positive"," 987989.2"
"2008","35 - 39 years","Negative","2562273.2"
"2008","35 - 39 years","Positive"," 745397.8"
"2008","40 - 44 years","Negative","2381166.5"
"2008","40 - 44 years","Positive"," 539379.5"
"2008","45 - 49 years","Negative","2164356.2"
"2008","45 - 49 years","Positive"," 366669.8"
"2008","50 - 54 years","Negative","1837468"
"2008","50 - 54 years","Positive"," 215744"
"2008","55 - 59 years","Negative","1492680.1"
"2008","55 - 59 years","Positive"," 108265.9"
"2008","60 - 64 years","Negative","1125494.2"
"2008","60 - 64 years","Positive","  43640.4"
"2008","65 - 69 years","Negative","899545.1"
"2008","65 - 69 years","Positive"," 15450.5"
"2008","70 - 74 years","Negative","689527.649"
"2008","70 - 74 years","Positive","  4927.351"
"2008","75 - 79 years","Negative","480023.695"
"2008","75 - 79 years","Positive","  1345.805"
"2008","80 - 84 years","Negative","282294.8685"
"2008","80 - 84 years","Positive","   359.0315"
"2008","85 - 89 years","Negative","146166.454"
"2008","85 - 89 years","Positive","   100.396"
"2008","90+ years","Negative","62689.80584"
"2008","90+ years","Positive","   30.89416"
"2009","0 years","Negative","1114393.24"
"2009","0 years","Positive","  27094.76"
"2009","1 years","Negative","1083362.25"
"2009","1 years","Positive","  30519.75"
"2009","2 years","Negative","1042933.8"
"2009","2 years","Positive","  32762.2"
"2009","3 years","Negative","1002569.08"
"2009","3 years","Positive","  33756.92"
"2009","4 years","Negative","964355.24"
"2009","4 years","Positive"," 33287.76"
"2009","5 - 9 years","Negative","4324240.5"
"2009","5 - 9 years","Positive"," 141621.5"
"2009","10 - 14 years","Negative","4538100.07"
"2009","10 - 14 years","Positive","  86078.93"
"2009","15 - 19 years","Negative","4815448.1"
"2009","15 - 19 years","Positive"," 163511.9"
"2009","20 - 24 years","Negative","4548177.7"
"2009","20 - 24 years","Positive"," 722654.3"
"2009","25 - 29 years","Negative","3610676"
"2009","25 - 29 years","Positive","1124895"
"2009","30 - 34 years","Negative","2847997"
"2009","30 - 34 years","Positive","1036284"
"2009","35 - 39 years","Negative","2591344"
"2009","35 - 39 years","Positive"," 800860"
"2009","40 - 44 years","Negative","2367448.5"
"2009","40 - 44 years","Positive"," 570894.5"
"2009","45 - 49 years","Negative","2188448.2"
"2009","45 - 49 years","Positive"," 395679.8"
"2009","50 - 54 years","Negative","1876713.7"
"2009","50 - 54 years","Positive"," 237930.3"
"2009","55 - 59 years","Negative","1532738.5"
"2009","55 - 59 years","Positive"," 122484.5"
"2009","60 - 64 years","Negative","1172919.76"
"2009","60 - 64 years","Positive","  51485.64"
"2009","65 - 69 years","Negative","897152.56"
"2009","65 - 69 years","Positive"," 17885.94"
"2009","70 - 74 years","Negative","710766.324"
"2009","70 - 74 years","Positive","  5911.276"
"2009","75 - 79 years","Negative","483291.186"
"2009","75 - 79 years","Positive","  1563.514"
"2009","80 - 84 years","Negative","297567.0779"
"2009","80 - 84 years","Positive","   418.1221"
"2009","85 - 89 years","Negative","145194.7289"
"2009","85 - 89 years","Positive","   106.2211"
"2009","90+ years","Negative","66708.02324"
"2009","90+ years","Positive","   33.17676"
"2010","0 years","Negative","1105709.34"
"2010","0 years","Positive","  18662.66"
"2010","1 years","Negative","1095064.48"
"2010","1 years","Positive","  26634.52"
"2010","2 years","Negative","1075552.63"
"2010","2 years","Positive","  30689.37"
"2010","3 years","Negative","1038020.62"
"2010","3 years","Positive","  31887.38"
"2010","4 years","Negative","998407.95"
"2010","4 years","Positive"," 32678.05"
"2010","5 - 9 years","Negative","4414909.3"
"2010","5 - 9 years","Positive"," 146594.7"
"2010","10 - 14 years","Negative","4475707.18"
"2010","10 - 14 years","Positive","  97565.82"
"2010","15 - 19 years","Negative","4773902.4"
"2010","15 - 19 years","Positive"," 165254.6"
"2010","20 - 24 years","Negative","4605806.6"
"2010","20 - 24 years","Positive"," 693601.4"
"2010","25 - 29 years","Negative","3786745"
"2010","25 - 29 years","Positive","1143321"
"2010","30 - 34 years","Negative","2886342"
"2010","30 - 34 years","Positive","1086483"
"2010","35 - 39 years","Negative","2619394.1"
"2010","35 - 39 years","Positive"," 859297.9"
"2010","40 - 44 years","Negative","2358589.2"
"2010","40 - 44 years","Positive"," 606574.8"
"2010","45 - 49 years","Negative","2206468.2"
"2010","45 - 49 years","Positive"," 426454.8"
"2010","50 - 54 years","Negative","1913496.1"
"2010","50 - 54 years","Positive"," 262218.9"
"2010","55 - 59 years","Negative","1571868.8"
"2010","55 - 59 years","Positive"," 138533.2"
"2010","60 - 64 years","Negative","1220980.43"
"2010","60 - 64 years","Positive","  60651.07"
"2010","65 - 69 years","Negative","901287.22"
"2010","65 - 69 years","Positive"," 21020.68"
"2010","70 - 74 years","Negative","728070.097"
"2010","70 - 74 years","Positive","  7093.103"
"2010","75 - 79 years","Negative","488119.565"
"2010","75 - 79 years","Positive","  1855.535"
"2010","80 - 84 years","Negative","310594.2328"
"2010","80 - 84 years","Positive","   491.0672"
"2010","85 - 89 years","Negative","146161.4243"
"2010","85 - 89 years","Positive","   115.6757"
"2010","90+ years","Negative","69840.0561"
"2010","90+ years","Positive","   35.2439"
"2011","0 years","Negative","1115016.2"
"2011","0 years","Positive","  14021.8"
"2011","1 years","Negative","1087947.43"
"2011","1 years","Positive","  21054.57"
"2011","2 years","Negative","1087703.89"
"2011","2 years","Positive","  27820.11"
"2011","3 years","Negative","1070684.79"
"2011","3 years","Positive","  30234.21"
"2011","4 years","Negative","1033803"
"2011","4 years","Positive","  31118"
"2011","5 - 9 years","Negative","4552908.6"
"2011","5 - 9 years","Positive"," 150323.4"
"2011","10 - 14 years","Negative","4411110.7"
"2011","10 - 14 years","Positive"," 108171.3"
"2011","15 - 19 years","Negative","4728856.3"
"2011","15 - 19 years","Positive"," 168629.7"
"2011","20 - 24 years","Negative","4629716.2"
"2011","20 - 24 years","Positive"," 663369.8"
"2011","25 - 29 years","Negative","3962804"
"2011","25 - 29 years","Positive","1149641"
"2011","30 - 34 years","Negative","2960453"
"2011","30 - 34 years","Positive","1140431"
"2011","35 - 39 years","Negative","2641356.1"
"2011","35 - 39 years","Positive"," 919321.9"
"2011","40 - 44 years","Negative","2359611.8"
"2011","40 - 44 years","Positive"," 648610.2"
"2011","45 - 49 years","Negative","2217601.7"
"2011","45 - 49 years","Positive"," 459270.3"
"2011","50 - 54 years","Negative","1947111.4"
"2011","50 - 54 years","Positive"," 288997.6"
"2011","55 - 59 years","Negative","1610987.5"
"2011","55 - 59 years","Positive"," 156825.5"
"2011","60 - 64 years","Negative","1265964.35"
"2011","60 - 64 years","Positive","  71238.65"
"2011","65 - 69 years","Negative","916257.75"
"2011","65 - 69 years","Positive"," 25136.75"
"2011","70 - 74 years","Negative","738842.443"
"2011","70 - 74 years","Positive","  8500.157"
"2011","75 - 79 years","Negative","496351.675"
"2011","75 - 79 years","Positive","  2252.825"
"2011","80 - 84 years","Negative","319905.0049"
"2011","80 - 84 years","Positive","   581.1951"
"2011","85 - 89 years","Negative","149979.8334"
"2011","85 - 89 years","Positive","   130.9766"
"2011","90+ years","Negative","71866.13779"
"2011","90+ years","Positive","   37.26221"
"2012","0 years","Negative","1128958.25"
"2012","0 years","Positive","  12337.75"
"2012","1 years","Negative","1097109.65"
"2012","1 years","Positive","  17165.35"
"2012","2 years","Negative","1079970.16"
"2012","2 years","Positive","  22720.84"
"2012","3 years","Negative","1082279.18"
"2012","3 years","Positive","  27688.82"
"2012","4 years","Negative","1066095.51"
"2012","4 years","Positive","  29686.49"
"2012","5 - 9 years","Negative","4720327.5"
"2012","5 - 9 years","Positive"," 151613.5"
"2012","10 - 14 years","Negative","4337793.3"
"2012","10 - 14 years","Positive"," 117570.7"
"2012","15 - 19 years","Negative","4691269.5"
"2012","15 - 19 years","Positive"," 173786.5"
"2012","20 - 24 years","Negative","4621257.5"
"2012","20 - 24 years","Positive"," 631969.5"
"2012","25 - 29 years","Negative","4096892"
"2012","25 - 29 years","Positive","1137823"
"2012","30 - 34 years","Negative","3069120"
"2012","30 - 34 years","Positive","1195558"
"2012","35 - 39 years","Negative","2653271.4"
"2012","35 - 39 years","Positive"," 978924.6"
"2012","40 - 44 years","Negative","2374240.3"
"2012","40 - 44 years","Positive"," 698778.7"
"2012","45 - 49 years","Negative","2221975.4"
"2012","45 - 49 years","Positive"," 494407.6"
"2012","50 - 54 years","Negative","1980707.8"
"2012","50 - 54 years","Positive"," 319085.2"
"2012","55 - 59 years","Negative","1652126.5"
"2012","55 - 59 years","Positive"," 177851.5"
"2012","60 - 64 years","Negative","1308595.88"
"2012","60 - 64 years","Positive","  83514.12"
"2012","65 - 69 years","Negative","944228.42"
"2012","65 - 69 years","Positive"," 30515.98"
"2012","70 - 74 years","Negative","743160.33"
"2012","70 - 74 years","Positive"," 10184.17"
"2012","75 - 79 years","Negative","509266.612"
"2012","75 - 79 years","Positive","  2793.288"
"2012","80 - 84 years","Negative","325255.8282"
"2012","80 - 84 years","Positive","   693.5718"
"2012","85 - 89 years","Negative","156403.9023"
"2012","85 - 89 years","Positive","   153.8577"
"2012","90+ years","Negative","72955.91883"
"2012","90+ years","Positive","   39.58117"
"2013","0 years","Negative","1139192.81"
"2013","0 years","Positive","  11239.19"
"2013","1 years","Negative","1111159.13"
"2013","1 years","Positive","  15889.87"
"2013","2 years","Negative","1089427.68"
"2013","2 years","Positive","  18942.32"
"2013","3 years","Negative","1074645.06"
"2013","3 years","Positive","  22770.94"
"2013","4 years","Negative","1077679.78"
"2013","4 years","Positive","  27261.22"
"2013","5 - 9 years","Negative","4918340.3"
"2013","5 - 9 years","Positive"," 150967.7"
"2013","10 - 14 years","Negative","4308659.3"
"2013","10 - 14 years","Positive"," 125931.7"
"2013","15 - 19 years","Negative","4625273.1"
"2013","15 - 19 years","Positive"," 179372.9"
"2013","20 - 24 years","Negative","4603529"
"2013","20 - 24 years","Positive"," 602330"
"2013","25 - 29 years","Negative","4200474"
"2013","25 - 29 years","Positive","1111641"
"2013","30 - 34 years","Negative","3212601"
"2013","30 - 34 years","Positive","1248041"
"2013","35 - 39 years","Negative","2662510"
"2013","35 - 39 years","Positive","1036641"
"2013","40 - 44 years","Negative","2401093.6"
"2013","40 - 44 years","Positive"," 755617.4"
"2013","45 - 49 years","Negative","2218389.5"
"2013","45 - 49 years","Positive"," 530405.5"
