"YEAR","viability","age_category","HIV","case_count"
2005,"Viable","48 - 53 months","Negative",1
2005,"Viable","48 - 53 months","Positive",13
2005,"Viable","48 - 53 months","Unknown",39
2005,"Viable","54 - 59 months","Negative",2
2005,"Viable","54 - 59 months","Positive",14
2005,"Viable","54 - 59 months","Unknown",16
2005,"Viable","5 - 9 years","Negative",9
2005,"Viable","5 - 9 years","Positive",72
2005,"Viable","5 - 9 years","Unknown",195
2005,"Viable","10 - 14 years","Negative",6
2005,"Viable","10 - 14 years","Positive",21
2005,"Viable","10 - 14 years","Unknown",54
2005,"Viable","15 - 19 years","Positive",9
2005,"Viable","15 - 19 years","Unknown",37
2005,"Viable","20 - 24 years","Negative",3
2005,"Viable","20 - 24 years","Positive",35
2005,"Viable","20 - 24 years","Unknown",94
2005,"Viable","25 - 29 years","Negative",4
2005,"Viable","25 - 29 years","Positive",81
2005,"Viable","25 - 29 years","Unknown",210
2005,"Viable","30 - 34 years","Negative",7
2005,"Viable","30 - 34 years","Positive",114
2005,"Viable","30 - 34 years","Unknown",270
2005,"Viable","35 - 39 years","Negative",2
2005,"Viable","35 - 39 years","Positive",115
2005,"Viable","35 - 39 years","Unknown",223
2005,"Viable","40 - 44 years","Negative",8
2005,"Viable","40 - 44 years","Positive",73
2005,"Viable","40 - 44 years","Unknown",161
2005,"Viable","45 - 49 years","Negative",4
2005,"Viable","45 - 49 years","Positive",43
2005,"Viable","45 - 49 years","Unknown",119
2005,"Viable","50 - 54 years","Negative",4
2005,"Viable","50 - 54 years","Positive",22
2005,"Viable","50 - 54 years","Unknown",91
2005,"Viable","55 - 59 years","Negative",2
2005,"Viable","55 - 59 years","Positive",9
2005,"Viable","55 - 59 years","Unknown",57
2005,"Viable","60 - 64 years","Negative",3
2005,"Viable","60 - 64 years","Positive",9
2005,"Viable","60 - 64 years","Unknown",37
2005,"Viable","65 - 69 years","Negative",1
2005,"Viable","65 - 69 years","Positive",5
2005,"Viable","65 - 69 years","Unknown",29
2005,"Viable","70 - 74 years","Negative",1
2005,"Viable","70 - 74 years","Unknown",26
2005,"Viable","75 - 79 years","Negative",1
2005,"Viable","75 - 79 years","Positive",2
2005,"Viable","75 - 79 years","Unknown",17
2005,"Viable","80 - 84 years","Negative",1
2005,"Viable","80 - 84 years","Unknown",5
2005,"Viable","85 - 89 years","Unknown",2
2005,"Viable","90 - 94 years","Unknown",3
2005,"Viable","100 - 104 years","Unknown",1
2005,"Viable","Unknown","Unknown",137
2006,"Audit","0 - 5 months","Positive",1
2006,"Audit","0 - 5 months","Unknown",80
2006,"Audit","6 - 11 months","Unknown",59
2006,"Audit","12 - 17 months","Positive",2
2006,"Audit","12 - 17 months","Unknown",43
2006,"Audit","18 - 23 months","Unknown",17
2006,"Audit","24 - 29 months","Positive",1
2006,"Audit","24 - 29 months","Unknown",19
2006,"Audit","30 - 35 months","Positive",1
2006,"Audit","30 - 35 months","Unknown",8
2006,"Audit","36 - 41 months","Negative",1
2006,"Audit","36 - 41 months","Unknown",13
2006,"Audit","42 - 47 months","Unknown",8
2006,"Audit","48 - 53 months","Positive",1
2006,"Audit","48 - 53 months","Unknown",8
2006,"Audit","54 - 59 months","Unknown",4
2006,"Audit","5 - 9 years","Positive",2
2006,"Audit","5 - 9 years","Unknown",50
2006,"Audit","10 - 14 years","Positive",1
2006,"Audit","10 - 14 years","Unknown",33
2006,"Audit","15 - 19 years","Negative",1
2006,"Audit","15 - 19 years","Positive",1
2006,"Audit","15 - 19 years","Unknown",19
2006,"Audit","20 - 24 years","Negative",1
2006,"Audit","20 - 24 years","Positive",1
2006,"Audit","20 - 24 years","Unknown",30
2006,"Audit","25 - 29 years","Negative",2
2006,"Audit","25 - 29 years","Positive",3
2006,"Audit","25 - 29 years","Unknown",61
2006,"Audit","30 - 34 years","Positive",3
2006,"Audit","30 - 34 years","Unknown",87
2006,"Audit","35 - 39 years","Positive",2
2006,"Audit","35 - 39 years","Unknown",71
2006,"Audit","40 - 44 years","Negative",1
2006,"Audit","40 - 44 years","Unknown",45
2006,"Audit","45 - 49 years","Positive",4
2006,"Audit","45 - 49 years","Unknown",41
2006,"Audit","50 - 54 years","Negative",1
2006,"Audit","50 - 54 years","Positive",2
2006,"Audit","50 - 54 years","Unknown",35
2006,"Audit","55 - 59 years","Positive",3
2006,"Audit","55 - 59 years","Unknown",9
2006,"Audit","60 - 64 years","Unknown",18
2006,"Audit","65 - 69 years","Negative",1
2006,"Audit","65 - 69 years","Unknown",8
2006,"Audit","70 - 74 years","Unknown",1
2006,"Audit","75 - 79 years","Unknown",2
2006,"Audit","80 - 84 years","Negative",1
2006,"Audit","80 - 84 years","Unknown",2
2006,"Audit","Unknown","Unknown",60
2006,"Non-viable","0 - 5 months","Negative",4
2006,"Non-viable","0 - 5 months","Positive",6
2006,"Non-viable","0 - 5 months","Unknown",17
2006,"Non-viable","6 - 11 months","Negative",4
2006,"Non-viable","6 - 11 months","Positive",3
2006,"Non-viable","6 - 11 months","Unknown",13
2006,"Non-viable","12 - 17 months","Positive",4
2006,"Non-viable","12 - 17 months","Unknown",7
2006,"Non-viable","18 - 23 months","Negative",1
2006,"Non-viable","18 - 23 months","Positive",1
2006,"Non-viable","18 - 23 months","Unknown",5
2006,"Non-viable","24 - 29 months","Positive",1
2006,"Non-viable","24 - 29 months","Unknown",3
2006,"Non-viable","30 - 35 months","Positive",1
2006,"Non-viable","30 - 35 months","Unknown",1
2006,"Non-viable","36 - 41 months","Unknown",4
2006,"Non-viable","42 - 47 months","Unknown",3
2006,"Non-viable","48 - 53 months","Positive",2
2006,"Non-viable","48 - 53 months","Unknown",3
2006,"Non-viable","54 - 59 months","Negative",1
2006,"Non-viable","54 - 59 months","Positive",1
2006,"Non-viable","54 - 59 months","Unknown",1
2006,"Non-viable","5 - 9 years","Negative",2
2006,"Non-viable","5 - 9 years","Positive",4
2006,"Non-viable","5 - 9 years","Unknown",12
2006,"Non-viable","10 - 14 years","Positive",1
2006,"Non-viable","10 - 14 years","Unknown",3
2006,"Non-viable","15 - 19 years","Negative",1
2006,"Non-viable","15 - 19 years","Unknown",6
2006,"Non-viable","20 - 24 years","Negative",3
2006,"Non-viable","20 - 24 years","Positive",7
2006,"Non-viable","20 - 24 years","Unknown",14
2006,"Non-viable","25 - 29 years","Negative",2
2006,"Non-viable","25 - 29 years","Positive",25
2006,"Non-viable","25 - 29 years","Unknown",19
2006,"Non-viable","30 - 34 years","Negative",3
2006,"Non-viable","30 - 34 years","Positive",38
2006,"Non-viable","30 - 34 years","Unknown",23
2006,"Non-viable","35 - 39 years","Negative",1
2006,"Non-viable","35 - 39 years","Positive",37
2006,"Non-viable","35 - 39 years","Unknown",14
2006,"Non-viable","40 - 44 years","Negative",2
2006,"Non-viable","40 - 44 years","Positive",28
2006,"Non-viable","40 - 44 years","Unknown",15
2006,"Non-viable","45 - 49 years","Negative",3
2006,"Non-viable","45 - 49 years","Positive",18
2006,"Non-viable","45 - 49 years","Unknown",10
2006,"Non-viable","50 - 54 years","Negative",1
2006,"Non-viable","50 - 54 years","Positive",6
2006,"Non-viable","50 - 54 years","Unknown",6
2006,"Non-viable","55 - 59 years","Positive",5
2006,"Non-viable","55 - 59 years","Unknown",6
2006,"Non-viable","60 - 64 years","Positive",3
2006,"Non-viable","60 - 64 years","Unknown",5
2006,"Non-viable","65 - 69 years","Positive",1
2006,"Non-viable","65 - 69 years","Unknown",7
2006,"Non-viable","70 - 74 years","Negative",1
2006,"Non-viable","70 - 74 years","Unknown",2
2006,"Non-viable","75 - 79 years","Unknown",4
2006,"Non-viable","80 - 84 years","Negative",1
2006,"Non-viable","Unknown","Positive",1
2006,"Non-viable","Unknown","Unknown",20
2006,"Viable","0 - 5 months","Negative",42
2006,"Viable","0 - 5 months","Positive",62
2006,"Viable","0 - 5 months","Unknown",242
2006,"Viable","6 - 11 months","Negative",26
2006,"Viable","6 - 11 months","Positive",56
2006,"Viable","6 - 11 months","Unknown",177
2006,"Viable","12 - 17 months","Negative",13
2006,"Viable","12 - 17 months","Positive",39
2006,"Viable","12 - 17 months","Unknown",71
2006,"Viable","18 - 23 months","Negative",8
2006,"Viable","18 - 23 months","Positive",33
2006,"Viable","18 - 23 months","Unknown",58
2006,"Viable","24 - 29 months","Positive",13
2006,"Viable","24 - 29 months","Unknown",45
2006,"Viable","30 - 35 months","Negative",7
2006,"Viable","30 - 35 months","Positive",18
2006,"Viable","30 - 35 months","Unknown",13
2006,"Viable","36 - 41 months","Negative",2
2006,"Viable","36 - 41 months","Positive",19
2006,"Viable","36 - 41 months","Unknown",36
2006,"Viable","42 - 47 months","Negative",2
2006,"Viable","42 - 47 months","Positive",13
2006,"Viable","42 - 47 months","Unknown",18
2006,"Viable","48 - 53 months","Positive",14
2006,"Viable","48 - 53 months","Unknown",31
2006,"Viable","54 - 59 months","Negative",3
2006,"Viable","54 - 59 months","Positive",9
2006,"Viable","54 - 59 months","Unknown",11
2006,"Viable","5 - 9 years","Negative",14
2006,"Viable","5 - 9 years","Positive",58
2006,"Viable","5 - 9 years","Unknown",164
2006,"Viable","10 - 14 years","Negative",4
2006,"Viable","10 - 14 years","Positive",28
2006,"Viable","10 - 14 years","Unknown",67
2006,"Viable","15 - 19 years","Negative",5
2006,"Viable","15 - 19 years","Positive",3
2006,"Viable","15 - 19 years","Unknown",56
2006,"Viable","20 - 24 years","Negative",10
2006,"Viable","20 - 24 years","Positive",37
2006,"Viable","20 - 24 years","Unknown",105
2006,"Viable","25 - 29 years","Negative",3
2006,"Viable","25 - 29 years","Positive",77
